% Summer nighttime summer neutral atmosphere density at HAARP location
% ---------------------------------------------------------------------------
% Created on 2006-06-13
% MSIS-E-90 Atmosphere Model
% http://modelweb.gsfc.nasa.gov/models/msis.html
% LOCAL TIME IS USED
% ---------------------------------------------------------------------------
% ModelWeb Browser Results
% msis model listing
% Intut parameters
% year= 2000, month= 07, day= 01, hour=2.,
% latitude= 62.39, longitude= 214.85, height= 100.
% Prof. parameters: start= 0. stop= 200. step= 1.
%
% F10.7(daily) used: 165.0
% F10.7(3-month avg) used: 195.7
% ap(daily,0-3,3-6,6-9,9-12,12-33,33-59 h prior) used:
%     6.9     5.0   9.0   4.0   9.0   4.4   7.8
% ---------------------------------------------------------------------------
%                    NUMBER DENSITIES                 TEMPERATURE
%   H/KM     He/cm-3    Ar/cm-3    H/cm-3     N/cm-3     Tn/K
   229.0   1.389E+06  1.831E+06  4.039E+04  1.933E+07  1127.3
   230.0   1.383E+06  1.759E+06  4.023E+04  1.911E+07  1128.6
   231.0   1.377E+06  1.690E+06  4.007E+04  1.889E+07  1129.9
   232.0   1.370E+06  1.623E+06  3.992E+04  1.866E+07  1131.2
   233.0   1.364E+06  1.560E+06  3.977E+04  1.844E+07  1132.5
   234.0   1.358E+06  1.499E+06  3.963E+04  1.822E+07  1133.7
   235.0   1.352E+06  1.441E+06  3.949E+04  1.799E+07  1134.9
   236.0   1.346E+06  1.385E+06  3.936E+04  1.777E+07  1136.1
   237.0   1.340E+06  1.331E+06  3.923E+04  1.755E+07  1137.2
   238.0   1.334E+06  1.279E+06  3.911E+04  1.733E+07  1138.3
   239.0   1.328E+06  1.230E+06  3.899E+04  1.711E+07  1139.4
   240.0   1.322E+06  1.182E+06  3.887E+04  1.689E+07  1140.5
   241.0   1.316E+06  1.138E+06  3.875E+04  1.667E+07  1141.5
   242.0   1.311E+06  1.094E+06  3.864E+04  1.645E+07  1142.5
   243.0   1.305E+06  1.052E+06  3.853E+04  1.624E+07  1143.5
   244.0   1.299E+06  1.011E+06  3.843E+04  1.602E+07  1144.5
   245.0   1.294E+06  9.726E+05  3.832E+04  1.581E+07  1145.4
   246.0   1.288E+06  9.354E+05  3.822E+04  1.560E+07  1146.3
   247.0   1.283E+06  8.996E+05  3.813E+04  1.539E+07  1147.2
   248.0   1.277E+06  8.653E+05  3.803E+04  1.518E+07  1148.1
   249.0   1.272E+06  8.323E+05  3.794E+04  1.497E+07  1148.9
   250.0   1.266E+06  8.006E+05  3.785E+04  1.477E+07  1149.8
   251.0   1.261E+06  7.702E+05  3.776E+04  1.456E+07  1150.6
   252.0   1.256E+06  7.410E+05  3.768E+04  1.436E+07  1151.4
   253.0   1.251E+06  7.129E+05  3.759E+04  1.416E+07  1152.1
   254.0   1.245E+06  6.859E+05  3.751E+04  1.397E+07  1152.9
   255.0   1.240E+06  6.600E+05  3.743E+04  1.377E+07  1153.6
   256.0   1.235E+06  6.351E+05  3.735E+04  1.358E+07  1154.4
   257.0   1.230E+06  6.112E+05  3.728E+04  1.339E+07  1155.1
   258.0   1.225E+06  5.882E+05  3.720E+04  1.320E+07  1155.8
   259.0   1.220E+06  5.660E+05  3.713E+04  1.301E+07  1156.4
   260.0   1.215E+06  5.448E+05  3.706E+04  1.283E+07  1157.1
   261.0   1.210E+06  5.244E+05  3.699E+04  1.265E+07  1157.7
   262.0   1.205E+06  5.047E+05  3.692E+04  1.247E+07  1158.3
   263.0   1.200E+06  4.858E+05  3.685E+04  1.229E+07  1159.0
   264.0   1.195E+06  4.677E+05  3.678E+04  1.212E+07  1159.6
   265.0   1.190E+06  4.502E+05  3.672E+04  1.194E+07  1160.1
   266.0   1.185E+06  4.334E+05  3.666E+04  1.177E+07  1160.7
   267.0   1.181E+06  4.173E+05  3.659E+04  1.160E+07  1161.3
   268.0   1.176E+06  4.017E+05  3.653E+04  1.144E+07  1161.8
   269.0   1.171E+06  3.868E+05  3.647E+04  1.127E+07  1162.3
   270.0   1.166E+06  3.724E+05  3.641E+04  1.111E+07  1162.8
   271.0   1.162E+06  3.586E+05  3.635E+04  1.095E+07  1163.3
   272.0   1.157E+06  3.453E+05  3.630E+04  1.080E+07  1163.8
   273.0   1.153E+06  3.325E+05  3.624E+04  1.064E+07  1164.3
   274.0   1.148E+06  3.202E+05  3.619E+04  1.049E+07  1164.8
   275.0   1.144E+06  3.084E+05  3.613E+04  1.034E+07  1165.2
   276.0   1.139E+06  2.970E+05  3.608E+04  1.019E+07  1165.7
