% Input parameters
% year= 2007., month= 11, day= 12, hour=8.5,
% latitude= 20., longitude= 202., height= 100.
% Prof. parameters: start= 60. stop= 150. step= 1.
%   H   ELECTRON DENSITY   TEMPERATURES         ION PERCENTAGES/%     1E16m-2
%   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 150.0     530  0.003   574   574   598   3   0   0   0  40  57   0  -1.0  -1
 155.0     746  0.005   594   594   619   5   0   0   0  40  55   0  -1.0  -1
 160.0    1070  0.007   611   611   631   7   0   0   0  40  53   0  -1.0  -1
 165.0    1499  0.009   625   625   637  11   0   0   0  37  52   0  -1.0  -1
 170.0    1881  0.012   637   637   641  15   0   0   0  35  50   0  -1.0  -1
 175.0    2212  0.014   647   647   647  20   0   0   0  32  48   0  -1.0  -1
 180.0    2616  0.016   656   656   656  24   0   0   0  30  46   0  -1.0  -1
 185.0    3111  0.019   663   663   663  28   0   0   0  27  44   0  -1.0  -1
 190.0    3728  0.023   669   669   669  33   0   0   0  25  42   0  -1.0  -1
 195.0    4507  0.028   674   674   674  37   0   0   0  22  41   0  -1.0  -1
 200.0    5515  0.034   678   678   678  41   0   0   0  19  39   0  -1.0  -1
 205.0    6860  0.043   682   682   682  44   0   0   0  18  37   0  -1.0  -1
 210.0    8745  0.055   685   685   685  47   0   0   0  17  35   0  -1.0  -1
 215.0   11634  0.073   687   687   687  50   0   0   0  17  33   0  -1.0  -1
 220.0   15765  0.098   689   689   689  53   0   0   0  16  31   0  -1.0  -1
 225.0   20907  0.131   691   691   691  56   0   0   0  15  29   0  -1.0  -1
 230.0   27147  0.170   693   693   693  59   0   0   0  14  27   0  -1.0  -1
 235.0   34530  0.216   694   694   694  62   0   0   0  13  26   0  -1.0  -1
 240.0   43048  0.269   695   695   695  65   0   0   0  12  24   0  -1.0  -1
 245.0   52627  0.329   696   696   696  68   0   0   0  11  22   0  -1.0  -1
 250.0   63125  0.394   697   697   697  71   0   0   0  10  20   0  -1.0  -1
 255.0   74330  0.464   697   697   697  74   0   0   0   9  18   0  -1.0  -1
 260.0   85970  0.537   698   698   698  77   0   0   0   8  16   0  -1.0  -1
 265.0   97722  0.610   698   698   698  80   0   0   0   7  14   0  -1.0  -1
 270.0  109238  0.682   699   699   699  82   0   0   0   6  12   0  -1.0  -1
 275.0  120164  0.750   699   699   699  85   0   0   0   5  10   0  -1.0  -1
 280.0  130164  0.813   699   699   699  87   0   0   0   4   9   0  -1.0  -1
 285.0  138950  0.868   700   700   700  89   0   0   0   3   7   0  -1.0  -1
 290.0  146299  0.914   700   700   700  92   0   0   0   3   6   0  -1.0  -1
 295.0  152070  0.950   700   700   700  94   0   0   0   2   4   0  -1.0  -1
 300.0  156217  0.976   700   700   700  96   0   0   0   1   3   0  -1.0  -1
 305.0  158797  0.992   700   701   701  92   1   7   0   0   0   0  -1.0  -1
 310.0  159973  0.999   700   702   702  92   1   7   0   0   0   0  -1.0  -1
 315.0  160233  1.001   700   703   703  91   1   8   0   0   0   0  -1.0  -1
 320.0  160215  1.001   700   704   704  91   1   8   0   0   0   0  -1.0  -1
 325.0  159823  0.998   701   705   705  91   1   8   0   0   0   0  -1.0  -1
 330.0  159073  0.993   701   706   706  90   1   9   0   0   0   0  -1.0  -1
 335.0  157987  0.987   701   707   707  90   1   9   0   0   0   0  -1.0  -1
 340.0  156588  0.978   701   708   708  89   1  10   0   0   0   0  -1.0  -1
 345.0  154898  0.967   701   709   709  88   1  10   0   0   0   0  -1.0  -1
 350.0  152944  0.955   701   710   710  88   1  10   0   0   0   0  -1.0  -1
 355.0  150750  0.941   701   712   712  87   1  11   0   0   0   0  -1.0  -1
 360.0  148344  0.926   701   713   713  87   2  11   1   0   0   0  -1.0  -1
 365.0  145753  0.910   701   714   714  86   2  12   1   0   0   0  -1.0  -1
 370.0  143001  0.893   701   715   715  85   2  12   1   0   0   0  -1.0  -1
 375.0  140114  0.875   701   716   716  84   2  13   1   0   0   0  -1.0  -1
 380.0  137116  0.856   701   717   717  84   2  14   1   0   0   0  -1.0  -1
 385.0  134031  0.837   701   718   718  83   2  14   1   0   0   0  -1.0  -1
 390.0  130881  0.817   701   719   719  82   3  15   1   0   0   0  -1.0  -1
 395.0  127684  0.797   701   720   720  81   3  15   1   0   0   0  -1.0  -1
 400.0  124462  0.777   701   721   721  80   3  16   1   0   0   0  -1.0  -1
 405.0  121230  0.757   701   722   722  79   3  17   1   0   0   0  -1.0  -1
 410.0  118004  0.737   701   723   723  79   3  17   1   0   0   0  -1.0  -1
 415.0  114798  0.717   701   724   724  78   3  18   1   0   0   0  -1.0  -1
 420.0  111625  0.697   701   725   725  77   4  19   1   0   0   0  -1.0  -1
 425.0  108496  0.678   701   726   726  76   4  19   1   0   0   0  -1.0  -1
 430.0  105419  0.658   701   726   728  75   4  20   1   0   0   0  -1.0  -1
 435.0  102403  0.640   701   727   733  74   4  21   1   0   0   0  -1.0  -1
 440.0   99455  0.621   701   727   738  73   4  22   1   0   0   0  -1.0  -1
 445.0   96580  0.603   701   728   744  72   4  23   1   0   0   0  -1.0  -1
 450.0   93782  0.586   701   728   749  71   4  23   1   0   0   0  -1.0  -1
 455.0   91066  0.569   701   728   755  70   4  24   2   0   0   0  -1.0  -1
 460.0   88434  0.552   701   728   760  69   5  25   2   0   0   0  -1.0  -1
 465.0   85887  0.536   701   729   766  68   5  26   2   0   0   0  -1.0  -1
 470.0   83426  0.521   701   729   771  67   5  27   2   0   0   0  -1.0  -1
 475.0   81052  0.506   701   729   777  66   5  28   2   0   0   0  -1.0  -1
 480.0   78765  0.492   701   729   782  65   5  29   2   0   0   0  -1.0  -1
 485.0   76564  0.478   701   729   788  63   5  30   2   0   0   0  -1.0  -1
 490.0   74449  0.465   701   729   794  62   5  31   2   0   0   0  -1.0  -1
 495.0   72417  0.452   701   730   799  61   5  32   2   0   0   0  -1.0  -1
 500.0   70467  0.440   701   730   805  60   4  33   2   0   0   0  -1.0  -1
 505.0   68597  0.428   701   730   810  59   4  34   2   0   0   0  -1.0  -1
 510.0   66806  0.417   701   730   816  58   4  35   3   0   0   0  -1.0  -1
 515.0   65090  0.406   701   730   821  57   4  36   3   0   0   0  -1.0  -1
 520.0   63448  0.396   701   730   827  56   4  37   3   0   0   0  -1.0  -1
 525.0   61877  0.386   701   730   832  55   4  38   3   0   0   0  -1.0  -1
 530.0   60375  0.377   701   731   837  54   3  39   3   0   0   0  -1.0  -1
 535.0   58939  0.368   701   731   843  53   3  40   3   0   0   0  -1.0  -1
 540.0   57568  0.360   701   731   848  52   3  42   3   0   0   0  -1.0  -1
 545.0   56257  0.351   701   731   854  51   3  43   3   0   0   0  -1.0  -1
 550.0   55005  0.344   701   731   859  50   3  44   4   0   0   0  -1.0  -1
 555.0   53811  0.336   701   731   864  49   3  45   4   0   0   0  -1.0  -1
 560.0   52669  0.329   701   732   869  48   3  46   4   0   0   0  -1.0  -1
 565.0   51580  0.322   701   732   874  46   2  47   4   0   0   0  -1.0  -1
 570.0   50540  0.316   701   732   879  45   2  48   4   0   0   0  -1.0  -1
 575.0   49548  0.309   701   732   884  44   2  49   4   0   0   0  -1.0  -1
 580.0   48601  0.304   701   732   888  43   2  50   4   0   0   0  -1.0  -1
 585.0   47698  0.298   701   732   893  42   2  51   4   0   0   0  -1.0  -1
 590.0   46835  0.292   701   732   897  41   2  53   5   0   0   0  -1.0  -1
 595.0   46012  0.287   701   733   901  40   2  54   5   0   0   0  -1.0  -1
 600.0   45227  0.282   701   733   905  39   2  55   5   0   0   0  -1.0  -1
 605.0   44477  0.278   701   733   908  38   2  56   5   0   0   0  -1.0  -1
 610.0   43762  0.273   701   733   912  37   2  57   5   0   0   0  -1.0  -1
 615.0   43079  0.269   701   733   915  36   1  58   5   0   0   0  -1.0  -1
 620.0   42428  0.265   701   733   917  35   1  59   5   0   0   0  -1.0  -1
 625.0   41806  0.261   701   733   920  34   1  60   6   0   0   0  -1.0  -1
 630.0   41211  0.257   701   734   922  33   1  61   6   0   0   0  -1.0  -1
 635.0   40645  0.254   701   734   925  32   1  62   6   0   0   0  -1.0  -1
 640.0   40103  0.250   701   734   927  31   1  62   6   0   0   0  -1.0  -1
 645.0   39586  0.247   701   734   929  30   1  63   6   0   0   0  -1.0  -1
 650.0   39092  0.244   701   734   931  29   1  64   6   0   0   0  -1.0  -1
 655.0   38621  0.241   701   734   933  28   1  65   6   0   0   0  -1.0  -1
 660.0   38170  0.238   701   734   935  27   1  66   6   0   0   0  -1.0  -1
 665.0   37740  0.236   701   735   937  26   1  67   6   0   0   0  -1.0  -1
 670.0   37329  0.233   701   735   939  25   1  68   7   0   0   0  -1.0  -1
 675.0   36936  0.231   701   735   940  24   1  68   7   0   0   0  -1.0  -1
 680.0   36561  0.228   701   735   942  24   1  69   7   0   0   0  -1.0  -1
 685.0   36202  0.226   701   735   944  23   1  70   7   0   0   0  -1.0  -1
 690.0   35859  0.224   701   735   946  22   1  71   7   0   0   0  -1.0  -1
 695.0   35531  0.222   701   735   947  21   0  71   7   0   0   0  -1.0  -1
 700.0   35217  0.220   701   736   949  21   0  72   7   0   0   0  -1.0  -1
 705.0   34918  0.218   701   736   951  20   0  72   7   0   0   0  -1.0  -1
 710.0   34631  0.216   701   736   953  20   0  73   7   0   0   0  -1.0  -1
 715.0   34357  0.215   701   736   954  20   0  73   7   0   0   0  -1.0  -1
 720.0   34095  0.213   701   736   956  19   0  73   7   0   0   0  -1.0  -1
 725.0   33844  0.211   701   736   958  19   0  74   7   0   0   0  -1.0  -1
 730.0   33604  0.210   701   736   959  19   0  74   7   0   0   0  -1.0  -1
 735.0   33374  0.208   701   737   961  18   0  74   7   0   0   0  -1.0  -1
 740.0   33155  0.207   701   737   963  18   0  75   7   0   0   0  -1.0  -1
 745.0   32945  0.206   701   737   964  18   0  75   7   0   0   0  -1.0  -1
 750.0   32744  0.204   701   737   966  17   0  75   7   0   0   0  -1.0  -1
 755.0   32551  0.203   701   737   968  17   0  76   7   0   0   0  -1.0  -1
 760.0   32367  0.202   701   737   970  17   0  76   7   0   0   0  -1.0  -1
 765.0   32190  0.201   701   738   971  16   0  76   7   0   0   0  -1.0  -1
 770.0   32021  0.200   701   738   973  16   0  76   7   0   0   0  -1.0  -1
 775.0   31860  0.199   701   738   975  16   0  77   7   0   0   0  -1.0  -1
 780.0   31705  0.198   701   738   976  15   0  77   7   0   0   0  -1.0  -1
 785.0   31557  0.197   701   738   978  15   0  77   7   0   0   0  -1.0  -1
 790.0   31415  0.196   701   738   980  15   0  78   7   0   0   0  -1.0  -1
 795.0   31279  0.195   701   738   981  15   0  78   7   0   0   0  -1.0  -1
 800.0   31149  0.195   701   739   983  14   0  78   7   0   0   0  -1.0  -1
 805.0   31024  0.194   701   739   985  14   0  78   7   0   0   0  -1.0  -1
 810.0   30905  0.193   701   739   986  14   0  79   7   0   0   0  -1.0  -1
 815.0   30790  0.192   701   739   988  13   0  79   7   0   0   0  -1.0  -1
 820.0   30681  0.192   701   739   990  13   0  79   7   0   0   0  -1.0  -1
 825.0   30576  0.191   701   739   992  13   0  80   7   0   0   0  -1.0  -1
 830.0   30476  0.190   701   739   993  13   0  80   8   0   0   0  -1.0  -1
 835.0   30379  0.190   701   740   995  12   0  80   8   0   0   0  -1.0  -1
 840.0   30287  0.189   701   740   997  12   0  80   8   0   0   0  -1.0  -1
 845.0   30198  0.189   701   740   998  12   0  81   8   0   0   0  -1.0  -1
 850.0   30114  0.188   701   740  1000  12   0  81   8   0   0   0  -1.0  -1
 855.0   30032  0.188   701   740  1002  11   0  81   8   0   0   0  -1.0  -1
 860.0   29955  0.187   701   740  1003  11   0  81   8   0   0   0  -1.0  -1
 865.0   29880  0.187   701   740  1005  11   0  81   8   0   0   0  -1.0  -1
 870.0   29809  0.186   701   741  1007  11   0  82   8   0   0   0  -1.0  -1
 875.0   29740  0.186   701   741  1008  10   0  82   8   0   0   0  -1.0  -1
 880.0   29674  0.185   701   741  1010  10   0  82   8   0   0   0  -1.0  -1
 885.0   29612  0.185   701   741  1012  10   0  82   8   0   0   0  -1.0  -1
